id,raw_min,raw_max,age_eq_y,age_eq_m

eh,0,96,3,11
eh,97,100,4,0
eh,101,104,4,2
eh,105,108,4,3
eh,109,111,4,4
eh,112,114,4,5
eh,115,117,4,6
eh,118,120,4,7
eh,121,123,4,8
eh,124,125,4,9
eh,126,128,4,10
eh,129,131,4,11
eh,132,133,5,0
eh,134,136,5,1
eh,137,138,5,2
eh,139,140,5,3
eh,141,143,5,4
eh,144,146,5,5
eh,147,148,5,6
eh,149,150,5,7
eh,151,152,5,8
eh,153,154,5,9
eh,155,156,5,10
eh,157,158,5,11
eh,159,159,6,0
eh,160,160,6,1
eh,161,161,6,2
eh,162,162,6,3
eh,163,163,6,4
eh,164,164,6,5
eh,165,165,6,7
eh,166,166,6,10
eh,167,167,7,1
eh,168,168,7,4
eh,169,169,7,6
eh,170,170,7,8
eh,171,171,7,10
eh,172,172,8,0
eh,173,173,8,2
eh,174,174,8,4
eh,175,175,8,6
eh,176,176,8,9
eh,177,177,9,1
eh,178,178,9,5
eh,179,179,9,10
eh,180,180,10,4
eh,181,181,10,10
eh,182,182,11,3
eh,183,183,11,8
eh,184,184,12,1
eh,185,185,12,5
eh,186,186,12,11
eh,187,inf,13,0

co,0,6,3,11
co,7,7,4,1
co,8,8,4,2
co,9,9,4,4
co,10,10,4,6
co,11,11,4,8
co,12,12,4,12
co,13,13,5,0
co,14,14,5,2
co,15,15,5,4
co,16,16,5,6
co,17,17,5,8
co,18,18,5,10
co,19,19,6,0
co,20,20,6,2
co,21,21,6,5
co,22,22,6,8
co,23,23,6,11
co,24,24,7,2
co,25,25,7,6
co,26,26,7,11
co,27,27,8,3
co,28,28,8,10
co,29,29,9,5
co,30,30,10,2
co,31,31,10,8
co,32,32,11,2
co,33,33,11,8
co,34,34,12,4
co,35,inf,13,0

fg,0,21,3,11
fg,22,23,4,1
fg,24,25,4,2
fg,26,26,4,3
fg,27,27,4,4
fg,28,28,4,5
fg,29,29,4,6
fg,30,30,4,8
fg,31,31,4,9
fg,32,32,4,10
fg,33,33,4,11
fg,34,34,5,0
fg,35,35,5,1
fg,36,36,5,2
fg,37,37,5,3
fg,38,38,5,5
fg,39,39,5,6
fg,40,40,5,8
fg,41,41,5,10
fg,42,42,6,1
fg,43,43,6,5
fg,44,44,6,7
fg,45,45,6,9
fg,46,46,6,11
fg,47,47,7,2
fg,48,48,7,8
fg,49,49,8,5
fg,50,50,9,2
fg,51,51,9,11
fg,52,52,10,5
fg,53,53,10,11
fg,54,54,11,5
fg,55,55,12,0
fg,56,56,12,8
fg,57,inf,13,0

vc,0,5,3,11
vc,6,6,4,1
vc,7,7,4,5
vc,8,8,4,11
vc,9,9,5,5
vc,10,10,5,10
vc,11,11,6,3
vc,12,12,6,9
vc,13,13,7,2
vc,14,14,7,8
vc,15,15,8,5
vc,16,16,9,5
vc,17,17,10,5
vc,18,18,11,5
vc,19,19,12,5
vc,20,inf,13,0

fc,0,22,3,11
fc,23,23,4,1
fc,24,24,4,2
fc,25,25,4,4
fc,26,26,4,6
fc,27,27,4,8
fc,28,28,4,11
fc,29,29,5,2
fc,30,30,5,5
fc,31,31,5,9
fc,32,32,6,3
fc,33,33,6,9
fc,34,34,7,7
fc,35,35,8,5
fc,36,36,9,1
fc,37,37,9,8
fc,38,38,10,3
fc,39,39,10,10
fc,40,40,11,4
fc,41,41,11,9
fc,42,42,12,2
fc,43,43,12,9
fc,44,inf,13,0
