id,scaled,percentile,index

vmi,2,0,45
vmi,3,0,48
vmi,4,0,51
vmi,5,0,55
vmi,6,0,58
vmi,7,0,61
vmi,8,1,64
vmi,9,1,67
vmi,10,2,70
vmi,11,3,73
vmi,12,5,76
vmi,13,8,79
vmi,14,12,82
vmi,15,16,85
vmi,16,21,88
vmi,17,27,91
vmi,18,35,94
vmi,19,42,97
vmi,20,50,100
vmi,21,58,103
vmi,22,65,106
vmi,23,73,109
vmi,24,79,112
vmi,25,84,115
vmi,26,89,118
vmi,27,92,121
vmi,28,95,124
vmi,29,97,127
vmi,30,98,130
vmi,31,99,133
vmi,32,100,136
vmi,33,100,139
vmi,34,100,142
vmi,35,100,145
vmi,36,100,148
vmi,37,100,151
vmi,38,100,154
vmi,39,100,157
vmi,40,100,160

mrvp,3,0,43
mrvp,4,0,45
mrvp,5,0,47
mrvp,6,0,50
mrvp,7,0,52
mrvp,8,0,54
mrvp,9,0,56
mrvp,10,0,58
mrvp,11,0,60
mrvp,12,0,62
mrvp,13,1,65
mrvp,14,1,67
mrvp,15,2,69
mrvp,16,3,71
mrvp,17,3,73
mrvp,18,5,75
mrvp,19,6,77
mrvp,20,9,80
mrvp,21,12,82
mrvp,22,14,84
mrvp,23,18,86
mrvp,24,21,88
mrvp,25,25,90
mrvp,26,30,92
mrvp,27,37,95
mrvp,28,42,97
mrvp,29,47,99
mrvp,30,50,100
mrvp,31,53,101
mrvp,32,58,103
mrvp,33,63,105
mrvp,34,70,108
mrvp,35,75,110
mrvp,36,79,112
mrvp,37,82,114
mrvp,38,86,116
mrvp,39,89,118
mrvp,40,91,120
mrvp,41,94,123
mrvp,42,95,125
mrvp,43,97,127
mrvp,44,97,129
mrvp,45,98,131
mrvp,46,99,133
mrvp,47,99,135
mrvp,48,100,138
mrvp,49,100,140
mrvp,50,100,142
mrvp,51,100,144
mrvp,52,100,146
mrvp,53,100,148
mrvp,54,100,150
mrvp,55,100,153
mrvp,56,100,155
mrvp,57,100,157
mrvp,58,100,159
mrvp,59,100,160

gvp,5,0,42
gvp,6,0,44
gvp,7,0,46
gvp,8,0,47
gvp,9,0,49
gvp,10,0,50
gvp,11,0,51
gvp,12,0,53
gvp,13,0,54
gvp,14,0,55
gvp,15,0,56
gvp,16,0,57
gvp,17,0,59
gvp,18,0,60
gvp,19,0,61
gvp,20,0,63
gvp,21,1,64
gvp,22,1,66
gvp,23,1,67
gvp,24,1,68
gvp,25,2,69
gvp,26,2,70
gvp,27,3,72
gvp,28,3,73
gvp,29,4,74
gvp,30,5,75
gvp,31,5,76
gvp,32,7,78
gvp,33,8,79
gvp,34,10,81
gvp,35,12,82
gvp,36,13,83
gvp,37,14,84
gvp,38,16,85
gvp,39,19,87
gvp,40,21,88
gvp,41,23,89
gvp,42,25,90
gvp,43,27,91
gvp,44,32,93
gvp,45,35,94
gvp,46,37,95
gvp,47,39,96
gvp,48,42,97
gvp,49,47,99
gvp,50,50,100
gvp,51,53,101
gvp,52,58,103
gvp,53,61,104
gvp,54,65,106
gvp,55,68,107
gvp,56,73,109
gvp,57,75,110
gvp,58,77,111
gvp,59,79,112
gvp,60,81,113
gvp,61,84,115
gvp,62,86,116
gvp,63,87,117
gvp,64,89,118
gvp,65,90,119
gvp,66,92,121
gvp,67,93,122
gvp,68,95,124
gvp,69,95,125
gvp,70,96,126
gvp,71,97,127
gvp,72,97,128
gvp,73,98,130
gvp,74,98,131
gvp,75,99,132
gvp,76,99,133
gvp,77,99,134
gvp,78,100,136
gvp,79,100,137
gvp,80,100,139
gvp,81,100,140
gvp,82,100,141
gvp,83,100,142
gvp,84,100,143
gvp,85,100,145
gvp,86,100,146
gvp,87,100,147
gvp,88,100,148
gvp,89,100,149
gvp,90,100,151
gvp,91,100,152
gvp,92,100,154
gvp,93,100,155
gvp,94,100,156
gvp,95,100,157
gvp,96,100,158
gvp,97,100,159
gvp,98,100,160
