id,age_min,age_max,raw_min,raw_max,standard,rank

hg11,5,6,0,9,17,0
hg11,5,6,10,12,16,0
hg11,5,6,13,13,15,0
hg11,5,6,14,14,14,0
hg11,5,6,15,15,13,0
hg11,5,6,16,17,12,0
hg11,5,6,18,18,11,0
hg11,5,6,19,19,10,0
hg11,5,6,20,20,9,0
hg11,5,6,21,21,8,0
hg11,5,6,22,22,7,0
hg11,5,6,23,23,6,1
hg11,5,6,24,24,5,2
hg11,5,6,25,26,4,2
hg11,5,6,27,inf,1,2

hg11,6,7,0,13,15,0
hg11,6,7,14,14,14,0
hg11,6,7,15,15,13,0
hg11,6,7,16,16,12,0
hg11,6,7,17,17,11,0
hg11,6,7,18,18,10,0
hg11,6,7,19,19,9,0
hg11,6,7,20,20,7,0
hg11,6,7,21,21,6,1
hg11,6,7,22,23,5,2
hg11,6,7,24,25,4,2
hg11,6,7,26,inf,1,2

hg11,7,8,0,21,16,0
hg11,7,8,22,23,15,0
hg11,7,8,24,25,14,0
hg11,7,8,26,26,13,0
hg11,7,8,27,28,12,0
hg11,7,8,29,29,11,0
hg11,7,8,30,30,10,0
hg11,7,8,31,32,9,0
hg11,7,8,33,35,8,0
hg11,7,8,36,36,7,0
hg11,7,8,37,42,6,1
hg11,7,8,43,47,5,2
hg11,7,8,48,inf,4,2

hg11,8,9,0,19,16,0
hg11,8,9,20,20,15,0
hg11,8,9,21,21,14,0
hg11,8,9,22,22,13,0
hg11,8,9,23,24,12,0
hg11,8,9,25,26,11,0
hg11,8,9,27,27,10,0
hg11,8,9,28,28,9,0
hg11,8,9,29,29,8,0
hg11,8,9,30,32,7,0
hg11,8,9,33,34,6,1
hg11,8,9,35,35,5,2
hg11,8,9,36,36,4,2
hg11,8,9,37,inf,3,2

hg11,9,10,0,19,16,0
hg11,9,10,20,20,15,0
hg11,9,10,21,21,14,0
hg11,9,10,22,22,13,0
hg11,9,10,23,24,12,0
hg11,9,10,25,25,11,0
hg11,9,10,26,26,10,0
hg11,9,10,27,27,9,0
hg11,9,10,28,28,8,0
hg11,9,10,29,30,7,0
hg11,9,10,31,34,6,1
hg11,9,10,35,35,5,2
hg11,9,10,36,36,4,2
hg11,9,10,37,inf,3,2

hg11,10,11,0,18,16,0
hg11,10,11,19,19,15,0
hg11,10,11,20,21,14,0
hg11,10,11,22,22,13,0
hg11,10,11,23,23,12,0
hg11,10,11,24,24,11,0
hg11,10,11,25,25,10,0
hg11,10,11,26,26,9,0
hg11,10,11,27,28,8,0
hg11,10,11,29,29,7,0
hg11,10,11,30,30,6,1
hg11,10,11,31,32,5,2
hg11,10,11,33,33,4,2
hg11,10,11,34,inf,3,2

hg11,11,12,0,15,16,0
hg11,11,12,16,16,14,0
hg11,11,12,17,17,12,0
hg11,11,12,18,19,11,0
hg11,11,12,20,21,10,0
hg11,11,12,22,22,9,0
hg11,11,12,23,23,8,0
hg11,11,12,24,24,7,0
hg11,11,12,25,25,6,1
hg11,11,12,26,26,5,2
hg11,11,12,27,27,4,2
hg11,11,12,28,inf,2,2

hg11,12,13,0,13,16,0
hg11,12,13,14,14,15,0
hg11,12,13,15,15,14,0
hg11,12,13,16,16,13,0
hg11,12,13,17,18,11,0
hg11,12,13,19,19,10,0
hg11,12,13,20,20,9,0
hg11,12,13,21,21,8,0
hg11,12,13,22,22,7,0
hg11,12,13,23,24,6,1
hg11,12,13,25,26,5,2
hg11,12,13,27,27,3,2
hg11,12,13,28,29,2,2
hg11,12,13,30,inf,1,2

hg11,13,14,0,13,16,0
hg11,13,14,14,14,14,0
hg11,13,14,15,15,13,0
hg11,13,14,16,16,12,0
hg11,13,14,17,18,11,0
hg11,13,14,19,19,10,0
hg11,13,14,20,20,9,0
hg11,13,14,21,21,7,0
hg11,13,14,22,24,6,1
