id,raw_min,raw_max,standard,percentile,rank

hg,43,inf,19,99.9,0
hg,42,42,18,99.6,0
hg,41,41,17,99,0
hg,40,40,16,98,0
hg,38,39,15,95,0
hg,37,37,14,91,0
hg,35,36,13,84,0
hg,33,34,12,75,0
hg,31,32,11,63,0
hg,29,30,10,50,0
hg,26,28,9,37,0
hg,24,25,8,25,0
hg,22,23,7,16,0
hg,19,21,6,9,1
hg,16,18,5,5,2
hg,13,15,4,2,2
hg,9,12,3,1,2
hg,4,8,2,0.4,2
hg,0,3,1,0.1,2

bf,33,inf,19,99,0
bf,31,32,18,99.6,0
bf,30,30,17,99,0
bf,29,29,16,98,0
bf,27,28,15,95,0
bf,26,26,14,91,0
bf,24,25,13,84,0
bf,22,23,12,75,0
bf,21,21,11,63,0
bf,19,20,10,50,0
bf,17,18,9,37,0
bf,15,16,8,25,0
bf,14,14,7,16,0
bf,13,13,6,9,1
bf,11,12,5,5,2
bf,10,10,4,2,2
bf,9,9,3,1,2
bf,7,8,2,0.4,2
bf,0,6,1,0.1,2

bl,44,inf,19,99.9,0
bl,42,43,18,99.6,0
bl,40,41,17,99,0
bl,38,39,16,98,0
bl,37,37,15,95,0
bl,36,36,14,91,0
bl,35,35,12,75,0
bl,33,34,11,63,0
bl,31,32,10,50,0
bl,28,30,9,37,0
bl,25,27,8,25,0
bl,23,24,7,16,0
bl,19,22,6,9,1
bl,15,18,5,5,2
bl,13,14,4,2,2
bl,11,12,3,1,2
bl,9,10,10,0.4,2
bl,0,8,1,0.1,2

gw,108,inf,19,99.9,0
gw,105,107,18,99.6,0
gw,102,104,17,99,0
gw,99,101,16,98,0
gw,96,98,15,95,0
gw,93,95,14,91,0
gw,90,92,13,84,0
gw,86,89,12,75,0
gw,82,85,11,63,0
gw,78,81,10,50,0
gw,73,77,9,37,0
gw,68,72,8,25,0
gw,63,67,7,16,0
gw,57,62,6,9,1
gw,50,56,5,5,2
gw,44,49,4,2,2
gw,38,43,3,1,2
gw,30,37,2,0.4,2
gw,0,29,1,0.1,2
