id,raw_min,raw_max,percentile,t

soc,0,11,16,40
soc,12,12,24,43
soc,13,13,31,45
soc,14,14,38,47
soc,15,15,46,49
soc,16,16,54,51
soc,17,17,62,53
soc,18,18,69,55
soc,19,19,73,56
soc,20,20,79,58
soc,21,21,84,60
soc,22,22,88,62
soc,23,23,90,63
soc,24,24,92,64
soc,25,25,93,65
soc,26,26,95,66
soc,27,27,95,67
soc,28,28,97,69
soc,29,29,97,70
soc,30,30,98,71
soc,31,31,99,73
soc,32,32,100,75
soc,33,33,100,76
soc,34,34,100,78
soc,35,36,100,79
soc,37,inf,100,80

vis,0,11,18,41
vis,12,12,50,50
vis,13,13,66,54
vis,14,14,76,57
vis,15,15,82,59
vis,16,16,86,61
vis,17,17,90,63
vis,18,18,92,64
vis,19,19,93,65
vis,20,20,95,67
vis,21,22,96,68
vis,23,23,97,69
vis,24,24,97,70
vis,25,25,98,71
vis,26,26,98,72
vis,27,27,100,74
vis,28,29,100,75
vis,30,30,100,76
vis,31,31,100,77
vis,32,32,100,78
vis,33,34,100,79
vis,35,inf,100,80

hea,0,8,24,43
hea,9,9,58,52
hea,10,10,73,56
hea,11,11,82,59
hea,12,12,88,62
hea,13,13,90,63
hea,14,14,92,64
hea,15,15,95,66
hea,16,16,95,67
hea,17,17,96,68
hea,18,18,97,69
hea,19,19,97,70
hea,20,20,98,71
hea,21,21,98,72
hea,22,22,100,74
hea,23,23,100,75
hea,24,24,100,76
hea,25,25,100,77
hea,26,26,100,78
hea,27,28,100,79
hea,29,inf,100,80

tou,0,11,16,40
tou,12,12,38,47
tou,13,13,48,52
tou,14,14,69,55
tou,15,15,76,57
tou,16,16,82,59
tou,17,17,86,61
tou,18,18,90,63
tou,19,19,92,64
tou,20,20,93,65
tou,21,21,95,66
tou,22,22,95,67
tou,23,24,96,68
tou,25,25,97,69
tou,26,26,98,71
tou,27,27,98,72
tou,28,29,99,73
tou,30,31,100,74
tou,32,32,100,75
tou,33,33,100,77
tou,34,35,100,78
tou,36,36,100,79
tou,37,inf,100,80

bod,0,10,16,40
bod,11,11,42,48
bod,12,12,58,52
bod,13,13,69,55
bod,14,14,76,57
bod,15,15,82,59
bod,16,16,84,60
bod,17,17,86,61
bod,18,18,90,63
bod,19,19,92,64
bod,20,20,93,65
bod,21,21,95,66
bod,22,22,95,67
bod,23,23,96,68
bod,24,24,97,69
bod,25,25,97,70
bod,26,26,98,71
bod,27,27,98,72
bod,28,28,99,73
bod,29,29,100,74
bod,30,30,100,75
bod,31,31,100,76
bod,32,32,100,77
bod,33,33,100,78
bod,34,35,100,79
bod,36,inf,100,80

bal,0,11,16,40
bal,12,12,38,47
bal,13,13,54,51
bal,14,14,66,54
bal,15,15,76,57
bal,16,16,82,59
bal,17,17,86,61
bal,18,18,90,63
bal,19,19,92,64
bal,20,20,93,65
bal,21,21,95,66
bal,22,22,96,68
bal,23,23,97,69
bal,24,24,98,71
bal,25,25,98,72
bal,26,26,100,74
bal,27,28,100,75
bal,29,30,100,76
bal,31,32,100,77
bal,33,33,100,78
bal,34,34,100,79
bal,35,inf,100,80

pln,0,9,16,40
pln,10,10,31,45
pln,11,11,42,48
pln,12,12,54,51
pln,13,13,62,53
pln,14,14,69,55
pln,15,15,76,57
pln,16,16,79,58
pln,17,17,84,60
pln,18,18,86,61
pln,19,19,90,63
pln,20,20,92,64
pln,21,21,93,65
pln,22,22,95,66
pln,23,23,95,67
pln,24,24,97,69
pln,25,25,97,70
pln,26,26,98,72
pln,27,27,99,73
pln,28,28,100,74
pln,29,29,100,75
pln,30,30,100,77
pln,31,32,100,79
pln,33,inf,100,80

st,0,58,16,40
st,59,59,21,42
st,60,60,27,44
st,61,61,34,46
st,62,62,38,47
st,63,63,42,48
st,64,64,50,50
st,65,65,54,51
st,66,66,58,52
st,67,68,62,53
st,69,69,66,54
st,70,70,69,55
st,71,72,73,56
st,73,74,76,57
st,75,76,79,58
st,77,78,82,59
st,79,80,84,60
st,81,83,86,61
st,84,87,88,62
st,88,91,90,63
st,92,93,92,64
st,94,98,93,65
st,99,102,95,66
st,103,105,95,67
st,106,109,96,68
st,110,118,97,69
st,119,121,97,70
st,122,128,98,71
st,129,130,98,72
st,131,132,99,73
st,133,136,100,74
st,137,139,100,75
st,140,141,100,76
st,142,153,100,77
st,154,163,100,78
st,164,169,100,79
st,170,inf,100,80
