id,age_min,age_max,raw_min,raw_max,standard,percentile

co,11,12,0,2,1,0
co,11,12,3,3,2,0
co,11,12,4,5,3,1
co,11,12,6,6,4,2
co,11,12,7,8,5,3
co,11,12,9,10,6,9
co,11,12,11,11,7,16
co,11,12,12,13,8,25
co,11,12,14,15,9,37
co,11,12,16,16,10,50
co,11,12,17,18,11,63
co,11,12,19,19,12,75
co,11,12,20,21,13,84
co,11,12,22,22,14,91
co,11,12,23,24,15,95
co,11,12,25,25,16,98
co,11,12,26,26,17,99
co,11,12,27,27,18,100
co,11,12,28,28,19,100
co,11,12,29,inf,20,100

fg,11,12,0,0,3,1
fg,11,12,1,1,4,2
fg,11,12,2,2,5,3
fg,11,12,3,3,6,9
fg,11,12,4,4,7,16
fg,11,12,5,5,8,25
fg,11,12,6,6,9,37
fg,11,12,7,7,10,50
fg,11,12,8,8,11,63
fg,11,12,9,9,12,75
fg,11,12,10,10,13,84
fg,11,12,11,11,14,91
fg,11,12,12,12,15,95
fg,11,12,13,13,16,98
fg,11,12,14,inf,17,99

vse,11,12,107,inf,1,0
vse,11,12,101,106,2,0
vse,11,12,95,100,3,1
vse,11,12,90,94,4,2
vse,11,12,74,89,5,3
vse,11,12,63,73,6,9
vse,11,12,55,62,7,16
vse,11,12,49,54,8,25
vse,11,12,45,48,9,37
vse,11,12,40,44,10,50
vse,11,12,35,39,11,63
vse,11,12,32,34,12,75
vse,11,12,30,31,13,84
vse,11,12,28,29,14,91
vse,11,12,27,27,15,95
vse,11,12,26,26,16,98
vse,11,12,25,25,17,99
vse,11,12,24,24,18,100
vse,11,12,23,23,19,100
vse,11,12,0,22,20,100

vc,11,12,0,4,1,0
vc,11,12,5,5,2,0
vc,11,12,6,6,3,1
vc,11,12,7,7,4,2
vc,11,12,8,8,5,3
vc,11,12,9,9,6,9
vc,11,12,10,10,7,16
vc,11,12,11,11,8,25
vc,11,12,12,12,9,37
vc,11,12,13,13,10,50
vc,11,12,14,14,11,63
vc,11,12,15,15,12,75
vc,11,12,16,inf,13,84

vsp,11,12,0,13,1,0
vsp,11,12,14,16,2,0
vsp,11,12,17,18,3,1
vsp,11,12,19,21,4,2
vsp,11,12,22,24,5,3
vsp,11,12,25,27,6,9
vsp,11,12,28,31,7,16
vsp,11,12,32,34,8,25
vsp,11,12,35,37,9,37
vsp,11,12,38,41,10,50
vsp,11,12,42,44,11,63
vsp,11,12,45,47,12,75
vsp,11,12,48,50,13,84
vsp,11,12,51,54,14,91
vsp,11,12,55,57,15,95
vsp,11,12,58,60,16,98
vsp,11,12,61,63,17,99
vsp,11,12,64,66,18,100
vsp,11,12,67,68,19,100
vsp,11,12,69,inf,20,100

fc,11,12,0,0,3,1
fc,11,12,1,2,4,2
fc,11,12,3,3,5,3
fc,11,12,4,5,6,9
fc,11,12,6,7,7,16
fc,11,12,8,9,8,25
fc,11,12,10,11,9,37
fc,11,12,12,13,10,50
fc,11,12,14,15,11,63
fc,11,12,16,16,12,75
fc,11,12,17,17,13,84
fc,11,12,18,18,14,91
fc,11,12,19,inf,15,95

co,12,13,0,3,1,0
co,12,13,4,4,2,0
co,12,13,5,6,3,1
co,12,13,7,7,4,2
co,12,13,8,9,5,3
co,12,13,10,11,6,9
co,12,13,12,12,7,16
co,12,13,13,14,8,25
co,12,13,15,16,9,37
co,12,13,17,18,10,50
co,12,13,19,19,11,63
co,12,13,20,21,12,75
co,12,13,22,22,13,84
co,12,13,23,24,14,91
co,12,13,25,25,15,95
