id,raw_min,raw_max,percentile,t,type
soc,0,10,16,40,classroom1
soc,11,11,18,41,classroom1
soc,12,12,27,44,classroom1
soc,13,13,31,45,classroom1
soc,14,14,38,47,classroom1
soc,15,15,46,49,classroom1
soc,16,16,50,50,classroom1
soc,17,17,58,52,classroom1
soc,18,18,62,53,classroom1
soc,19,19,66,54,classroom1
soc,20,20,73,56,classroom1
soc,21,21,76,57,classroom1
soc,22,22,82,59,classroom1
soc,23,23,84,60,classroom1
soc,24,24,86,61,classroom1
soc,25,25,88,62,classroom1
soc,26,26,90,63,classroom1
soc,27,27,92,64,classroom1
soc,28,28,93,65,classroom1
soc,29,29,95,66,classroom1
soc,30,30,96,68,classroom1
soc,31,31,97,69,classroom1
soc,32,32,97,70,classroom1
soc,33,33,98,72,classroom1
soc,34,34,99,73,classroom1
soc,35,35,100,74,classroom1
soc,36,36,100,76,classroom1
soc,37,37,100,77,classroom1
soc,38,38,100,78,classroom1
soc,39,inf,100,80,classroom1
vis,0,7,16,40,classroom1
vis,8,8,42,48,classroom1
vis,9,9,62,53,classroom1
vis,10,10,76,57,classroom1
vis,11,11,82,59,classroom1
vis,12,12,88,62,classroom1
vis,13,13,92,64,classroom1
vis,14,14,93,65,classroom1
vis,15,15,95,67,classroom1
vis,16,16,97,70,classroom1
vis,17,17,98,71,classroom1
vis,18,18,99,73,classroom1
vis,19,19,100,75,classroom1
vis,20,21,100,76,classroom1
vis,22,23,100,77,classroom1
vis,24,24,100,78,classroom1
vis,25,25,100,79,classroom1
vis,26,inf,100,80,classroom1
hea,0,7,24,43,classroom1
hea,8,8,58,52,classroom1
hea,9,9,73,56,classroom1
hea,10,10,82,59,classroom1
hea,11,11,86,61,classroom1
hea,12,12,90,63,classroom1
hea,13,13,93,65,classroom1
hea,14,14,95,67,classroom1
hea,15,15,97,69,classroom1
hea,16,16,98,70,classroom1
hea,17,17,100,74,classroom1
hea,18,18,100,75,classroom1
hea,19,20,100,76,classroom1
hea,21,21,100,77,classroom1
hea,22,23,100,78,classroom1
hea,24,inf,100,80,classroom1
tou,0,8,27,44,classroom1
tou,9,9,62,53,classroom1
tou,10,10,79,58,classroom1
tou,11,11,86,61,classroom1
tou,12,12,90,63,classroom1
tou,13,13,93,65,classroom1
tou,14,14,95,67,classroom1
tou,15,15,96,68,classroom1
tou,16,16,97,70,classroom1
tou,17,17,98,72,classroom1
tou,18,18,99,73,classroom1
tou,19,19,100,75,classroom1
tou,20,20,100,76,classroom1
tou,21,22,100,78,classroom1
tou,23,24,100,79,classroom1
tou,25,inf,100,80,classroom1
bod,0,7,21,42,classroom1
bod,8,8,54,51,classroom1
bod,9,9,66,54,classroom1
bod,10,10,76,57,classroom1
bod,11,11,82,59,classroom1
bod,12,12,86,61,classroom1
bod,13,13,90,63,classroom1
bod,14,14,93,65,classroom1
bod,15,15,95,66,classroom1
bod,16,16,95,67,classroom1
bod,17,17,96,68,classroom1
bod,18,18,97,69,classroom1
bod,19,19,97,70,classroom1
bod,20,20,98,72,classroom1
bod,21,21,100,75,classroom1
bod,22,22,100,77,classroom1
bod,23,24,100,79,classroom1
bod,25,inf,100,80,classroom1
bal,0,9,16,40,classroom1
bal,10,10,38,47,classroom1
bal,11,11,54,51,classroom1
bal,12,12,62,53,classroom1
bal,13,13,73,56,classroom1
bal,14,14,79,58,classroom1
bal,15,15,84,60,classroom1
bal,16,16,86,61,classroom1
bal,17,17,90,63,classroom1
bal,18,18,92,64,classroom1
bal,19,19,95,66,classroom1
bal,20,20,95,67,classroom1
bal,21,21,97,69,classroom1
bal,22,22,97,70,classroom1
bal,23,23,98,71,classroom1
bal,24,25,98,72,classroom1
bal,26,26,99,73,classroom1
bal,27,27,100,74,classroom1
bal,28,29,100,75,classroom1
bal,30,30,100,76,classroom1
bal,31,32,100,78,classroom1
bal,33,33,100,79,classroom1
bal,34,inf,100,80,classroom1
pln,0,10,16,40,classroom1
pln,11,11,38,47,classroom1
pln,12,12,50,50,classroom1
pln,13,13,58,52,classroom1
pln,14,14,66,54,classroom1
pln,15,15,69,55,classroom1
pln,16,16,73,57,classroom1
pln,17,17,79,58,classroom1
pln,18,18,82,59,classroom1
pln,19,19,84,60,classroom1
pln,20,20,86,61,classroom1
pln,21,22,88,62,classroom1
pln,23,23,90,63,classroom1
pln,24,24,92,64,classroom1
pln,25,25,95,66,classroom1
pln,26,26,95,67,classroom1
pln,27,27,96,68,classroom1
pln,28,28,97,70,classroom1
pln,29,29,98,71,classroom1
pln,30,31,98,72,classroom1
pln,32,33,99,73,classroom1
pln,34,35,100,74,classroom1
pln,36,36,100,75,classroom1
pln,37,37,100,76,classroom1
pln,38,38,100,78,classroom1
pln,39,39,100,79,classroom1
pln,40,inf,100,80,classroom1
st,0,43,16,40,classroom1
st,44,44,24,43,classroom1
st,45,45,31,45,classroom1
st,46,46,38,47,classroom1
st,47,47,46,49,classroom1
st,48,48,50,50,classroom1
st,49,49,54,51,classroom1
st,50,50,58,52,classroom1
st,51,51,62,53,classroom1
st,52,52,66,54,classroom1
st,53,54,69,55,classroom1
st,55,55,73,56,classroom1
st,56,57,76,57,classroom1
st,58,59,79,58,classroom1
st,60,61,82,59,classroom1
st,62,63,84,60,classroom1
st,64,66,86,61,classroom1
st,67,68,88,62,classroom1
st,69,70,90,63,classroom1
st,71,73,92,64,classroom1
st,74,77,93,65,classroom1
st,78,79,95,66,classroom1
st,80,81,95,67,classroom1
st,82,83,96,68,classroom1
st,84,86,97,69,classroom1
st,87,87,97,70,classroom1
st,88,93,98,71,classroom1
st,94,95,98,72,classroom1
st,96,97,99,73,classroom1
st,98,107,100,74,classroom1
st,108,108,100,75,classroom1
st,109,114,100,76,classroom1
st,115,116,100,77,classroom1
st,117,118,100,78,classroom1
st,119,129,100,79,classroom1
st,130,inf,100,80,classroom1
