id,raw_min,raw_max,percentile,t,type
soc,0,11,16,40,home1
soc,12,12,24,43,home1
soc,13,13,31,45,home1
soc,14,14,38,47,home1
soc,15,15,46,49,home1
soc,16,16,54,51,home1
soc,17,17,62,53,home1
soc,18,18,69,55,home1
soc,19,19,73,56,home1
soc,20,20,79,58,home1
soc,21,21,84,60,home1
soc,22,22,88,62,home1
soc,23,23,90,63,home1
soc,24,24,92,64,home1
soc,25,25,93,65,home1
soc,26,26,95,66,home1
soc,27,27,95,67,home1
soc,28,28,97,69,home1
soc,29,29,97,70,home1
soc,30,30,98,71,home1
soc,31,31,99,73,home1
soc,32,32,100,75,home1
soc,33,33,100,76,home1
soc,34,34,100,78,home1
soc,35,36,100,79,home1
soc,37,inf,100,80,home1
vis,0,11,18,41,home1
vis,12,12,50,50,home1
vis,13,13,66,54,home1
vis,14,14,76,57,home1
vis,15,15,82,59,home1
vis,16,16,86,61,home1
vis,17,17,90,63,home1
vis,18,18,92,64,home1
vis,19,19,93,65,home1
vis,20,20,95,67,home1
vis,21,22,96,68,home1
vis,23,23,97,69,home1
vis,24,24,97,70,home1
vis,25,25,98,71,home1
vis,26,26,98,72,home1
vis,27,27,100,74,home1
vis,28,29,100,75,home1
vis,30,30,100,76,home1
vis,31,31,100,77,home1
vis,32,32,100,78,home1
vis,33,34,100,79,home1
vis,35,inf,100,80,home1
hea,0,8,24,43,home1
hea,9,9,58,52,home1
hea,10,10,73,56,home1
hea,11,11,82,59,home1
hea,12,12,88,62,home1
hea,13,13,90,63,home1
hea,14,14,92,64,home1
hea,15,15,95,66,home1
hea,16,16,95,67,home1
hea,17,17,96,68,home1
hea,18,18,97,69,home1
hea,19,19,97,70,home1
hea,20,20,98,71,home1
hea,21,21,98,72,home1
hea,22,22,100,74,home1
hea,23,23,100,75,home1
hea,24,24,100,76,home1
hea,25,25,100,77,home1
hea,26,26,100,78,home1
hea,27,28,100,79,home1
hea,29,inf,100,80,home1
tou,0,11,16,40,home1
tou,12,12,38,47,home1
tou,13,13,48,52,home1
tou,14,14,69,55,home1
tou,15,15,76,57,home1
tou,16,16,82,59,home1
tou,17,17,86,61,home1
tou,18,18,90,63,home1
tou,19,19,92,64,home1
tou,20,20,93,65,home1
tou,21,21,95,66,home1
tou,22,22,95,67,home1
tou,23,24,96,68,home1
tou,25,25,97,69,home1
tou,26,26,98,71,home1
tou,27,27,98,72,home1
tou,28,29,99,73,home1
tou,30,31,100,74,home1
tou,32,32,100,75,home1
tou,33,33,100,77,home1
tou,34,35,100,78,home1
tou,36,36,100,79,home1
tou,37,inf,100,80,home1
bod,0,10,16,40,home1
bod,11,11,42,48,home1
bod,12,12,58,52,home1
bod,13,13,69,55,home1
bod,14,14,76,57,home1
bod,15,15,82,59,home1
bod,16,16,84,60,home1
bod,17,17,86,61,home1
bod,18,18,90,63,home1
bod,19,19,92,64,home1
bod,20,20,93,65,home1
bod,21,21,95,66,home1
bod,22,22,95,67,home1
bod,23,23,96,68,home1
bod,24,24,97,69,home1
bod,25,25,97,70,home1
bod,26,26,98,71,home1
bod,27,27,98,72,home1
bod,28,28,99,73,home1
bod,29,29,100,74,home1
bod,30,30,100,75,home1
bod,31,31,100,76,home1
bod,32,32,100,77,home1
bod,33,33,100,78,home1
bod,34,35,100,79,home1
bod,36,inf,100,80,home1
bal,0,11,16,40,home1
bal,12,12,38,47,home1
bal,13,13,54,51,home1
bal,14,14,66,54,home1
bal,15,15,76,57,home1
bal,16,16,82,59,home1
bal,17,17,86,61,home1
bal,18,18,90,63,home1
bal,19,19,92,64,home1
bal,20,20,93,65,home1
bal,21,21,95,66,home1
bal,22,22,96,68,home1
bal,23,23,97,69,home1
bal,24,24,98,71,home1
bal,25,25,98,72,home1
bal,26,26,100,74,home1
bal,27,28,100,75,home1
bal,29,30,100,76,home1
bal,31,32,100,77,home1
bal,33,33,100,78,home1
bal,34,34,100,79,home1
bal,35,inf,100,80,home1
pln,0,9,16,40,home1
pln,10,10,31,45,home1
pln,11,11,42,48,home1
pln,12,12,54,51,home1
pln,13,13,62,53,home1
pln,14,14,69,55,home1
pln,15,15,76,57,home1
pln,16,16,79,58,home1
pln,17,17,84,60,home1
pln,18,18,86,61,home1
pln,19,19,90,63,home1
pln,20,20,92,64,home1
pln,21,21,93,65,home1
pln,22,22,95,66,home1
pln,23,23,95,67,home1
pln,24,24,97,69,home1
pln,25,25,97,70,home1
pln,26,26,98,72,home1
pln,27,27,99,73,home1
pln,28,28,100,74,home1
pln,29,29,100,75,home1
pln,30,30,100,77,home1
pln,31,32,100,79,home1
pln,33,inf,100,80,home1
st,0,58,16,40,home1
st,59,59,21,42,home1
st,60,60,27,44,home1
st,61,61,34,46,home1
st,62,62,38,47,home1
st,63,63,42,48,home1
st,64,64,50,50,home1
st,65,65,54,51,home1
st,66,66,58,52,home1
st,67,68,62,53,home1
st,69,69,66,54,home1
st,70,70,69,55,home1
st,71,72,73,56,home1
st,73,74,76,57,home1
st,75,76,79,58,home1
st,77,78,82,59,home1
st,79,80,84,60,home1
st,81,83,86,61,home1
st,84,87,88,62,home1
st,88,91,90,63,home1
st,92,93,92,64,home1
st,94,98,93,65,home1
st,99,102,95,66,home1
st,103,105,95,67,home1
st,106,109,96,68,home1
st,110,118,97,69,home1
st,119,121,97,70,home1
st,122,128,98,71,home1
st,129,130,98,72,home1
st,131,132,99,73,home1
st,133,136,100,74,home1
st,137,139,100,75,home1
st,140,141,100,76,home1
st,142,153,100,77,home1
st,154,163,100,78,home1
st,164,169,100,79,home1
st,170,inf,100,80,home1
