id,raw_min,raw_max,percentile,t

vis,0,10,16,40
vis,11,11,31,45
vis,12,12,46,49
vis,13,13,58,52
vis,14,14,69,55
vis,15,15,79,58
vis,16,16,84,60
vis,17,17,86,61
vis,18,18,90,63
vis,19,19,92,64
vis,20,20,95,66
vis,21,21,96,68
vis,22,22,97,69
vis,23,24,98,71
vis,25,25,99,72
vis,26,26,99,74
vis,27,27,100,77
vis,28,31,100,79
vis,32,inf,100,80

hea,0,10,16,40
hea,11,11,38,47
hea,12,12,54,51
hea,13,13,66,54
hea,14,14,76,57
hea,15,15,79,58
hea,16,16,84,60
hea,17,17,86,61
hea,18,18,90,63
hea,19,19,92,64
hea,20,20,93,65
hea,21,21,95,66
hea,22,22,96,67
hea,23,23,96,68
hea,24,24,97,69
hea,25,25,98,70
hea,26,26,98,71
hea,27,28,99,72
hea,29,30,99,73
hea,31,31,99,74
hea,32,32,100,76
hea,33,33,100,77
hea,34,34,100,78
hea,35,inf,100,80

tou,0,10,16,40
tou,11,11,24,43
tou,12,12,38,47
tou,13,13,50,50
tou,14,14,62,53
tou,15,15,73,56
tou,16,16,82,59
tou,17,17,86,61
tou,18,18,90,63
tou,19,19,93,65
tou,20,20,95,66
tou,21,21,96,67
tou,22,23,97,69
tou,24,24,98,70
tou,25,25,99,72
tou,26,26,99,73
tou,27,27,100,76
tou,28,32,100,79
tou,33,inf,100,80

t&s,0,10,16,40
t&s,11,11,24,43
t&s,12,12,34,46
t&s,13,13,46,49
t&s,14,14,58,52
t&s,15,15,69,55
t&s,16,16,76,57
t&s,17,17,79,58
t&s,18,18,84,60
t&s,19,19,88,62
t&s,20,20,92,64
t&s,21,21,93,65
t&s,22,22,96,67
t&s,23,23,96,68
t&s,24,24,97,69
t&s,25,25,98,71
t&s,26,26,99,72
t&s,27,27,99,74
t&s,28,29,100,76
t&s,30,30,100,78
t&s,31,32,100,79
t&s,33,inf,100,80

bod,0,10,16,40
bod,11,11,31,45
bod,12,12,42,48
bod,13,13,54,51
bod,14,14,63,53
bod,15,15,69,55
bod,16,16,76,57
bod,17,17,82,59
bod,18,18,86,61
bod,19,19,90,63
bod,20,20,92,64
bod,21,21,95,66
bod,22,22,96,68
bod,23,23,97,69
bod,24,24,98,70
bod,25,26,98,71
bod,27,27,99,72
bod,28,28,99,74
bod,29,29,99,75
bod,30,30,100,77
bod,31,31,100,79
bod,32,inf,100,80

bal,0,10,18,41
bal,11,11,46,49
bal,12,12,62,53
bal,13,13,73,56
bal,14,14,82,59
bal,15,15,86,61
bal,16,16,90,63
bal,17,17,93,65
bal,18,18,95,66
bal,19,19,96,68
bal,20,20,97,69
bal,21,21,98,70
bal,22,22,99,72
bal,23,23,99,73
bal,24,24,99,74
bal,25,25,100,76
bal,26,26,100,77
bal,27,27,100,79
bal,28,inf,100,80

st,0,64,16,40
st,65,65,18,41
st,66,66,21,42
st,67,67,24,43
st,68,68,27,44
st,69,69,31,45
st,70,70,34,46
st,71,71,38,47
st,72,73,42,48
st,74,74,46,49
st,75,76,50,50
st,77,77,54,51
st,78,79,58,52
st,80,81,62,53
st,82,83,66,54
st,84,84,69,55
st,85,86,73,56
st,87,88,76,57
st,89,90,79,58
st,91,92,82,59
st,93,95,84,60
st,96,98,86,61
st,99,103,88,62
st,104,105,90,63
st,106,109,92,64
st,110,113,93,65
st,114,117,95,66
st,118,119,96,67
st,120,122,96,68
st,123,125,97,69
st,126,129,98,70
st,130,131,98,71
st,132,136,99,72
st,137,140,99,73
st,141,144,99,74
st,145,146,99,75
st,147,149,100,76
st,150,151,100,77
st,152,154,100,78
st,155,157,100,79
st,158,inf,100,80

pln,0,10,16,40
pln,11,11,31,45
pln,12,12,42,48
pln,13,13,50,50
pln,14,14,62,53
pln,15,15,69,55
pln,16,16,73,56
pln,17,17,79,58
pln,18,18,84,60
pln,19,19,88,62
pln,20,20,90,63
pln,21,21,93,65
pln,22,22,95,66
pln,23,23,96,67
pln,24,24,96,68
pln,25,25,97,69
pln,26,26,98,71
pln,27,27,98,72
pln,28,30,99,73
pln,31,32,99,74
pln,33,33,99,75
pln,34,34,100,77
pln,35,35,100,78
pln,36,inf,100,80

soc,0,11,16,40
soc,12,12,21,42
soc,13,13,27,44
soc,14,14,34,46
soc,15,15,42,48
soc,16,16,50,50
soc,17,17,54,51
soc,18,18,58,52
soc,19,19,62,53
soc,20,20,69,55
soc,21,21,79,57
soc,22,22,82,59
soc,23,23,84,60
soc,24,24,86,61
soc,25,25,90,63
soc,26,26,93,65
soc,27,27,95,66
soc,28,28,96,68
soc,29,29,97,69
soc,30,30,98,70
soc,31,31,99,72
soc,32,32,99,74
soc,33,35,100,77
soc,36,36,100,78
soc,37,39,100,79
soc,40,inf,100,80

